"REGION","RNAME","SNAME","KEY","LENGTH","UPNGR","DOWNNGR","CHEMNGR","N_GQA_90","N_GQA_95","N_GQA_00","N_GQA_01","N_GQA_02","N_GQA_03","N_GQA_04","N_GQA_05","N_GQA_06","N_GQA_07","N_GQA_08","N_GQA_09"
"Midlands","DERWENT R","CONF_WITH_R_WYE_TO_MATLOCK_STW_OF","028010089022",15.9,"SK260  655","SK316  557","SK2969658611","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","DERWENT R","MATLOCK_STW_OF_TO_CONF_WITH_R_AMBER","028010089024",6.2,"SK316  557","SK346  514","SK3310354346","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","DERWENT R","CONF_WITH_R_AMBER_TO_BELPER_STW","028010089028",5.5,"SK346  514","SK345  467","SK3448248134","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","DERWENT R","BELPER_STW_OUTFALL_TO_A6_RD_BR_MILFORD","028010089032",2,"SK345  467","SK351  451","SK3510245122","3",,"3","3","3","3","3","3","3","3","3","3"
"Midlands","DERWENT R","A6_MILFORD_TO_A38_ALLESTREE","028010089036",14.3,"SK351  451","SK359  399","SK3595540165","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","DERWENT R","A38_ALLESTREE_TO_ST_MARYS_BR_DERBY","028010089042",6,"SK359  399","SK354  367","SK3536836769","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","DERWENT R","ST_MARYS_BR_DERBY_TO_DERBY_STW","028010089044",7.6,"SK354  367","SK393  345","SK3808334408","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","DERWENT R","DERBY_STW_TO_D_CUT_WEIR","028010089048",4,"SK393  345","SK404  339","SK3986434387","4","4","4","4","4","4","4","4","4","4","4","4"
"Midlands","DERWENT R","D_CUT_WEIR_TO_B5010_RD_BRIDGE","028010089052",3,"SK404  339","SK415  339","SK4057134605","3","3","4","4","4","5","5","5","5","5","4","4"
"Midlands","DERWENT R","B5010_RD_BRIDGE_TO_OCKBROOK_CONFLUENCE","028010089056",1,"SK415  339","SK422  338","SK4152433985","4","4","4","4","3","4","4","4","3","3","3","3"
"Midlands","DERWENT R","OCKBROOK_CONF_TO_CONF_WITH_R_TRENT","028010089062",10,"SK422  338","SK458  308","SK4520231459","4","4","4","4","3","4","4","4","4","4","3","3"
"Midlands","MARKEATON BK","MERCASTON_GREEN_TO_CUTLER_BK_KEDLESTON","028010093002",4.9,"SK268  430","SK305  412","SK3326038144","4","4","4","4","4","4","4","4","4","4","3","3"
"Midlands","MARKEATON BK","CUTLER_BK_KEDLESTON_TO_FORD_ST_DERBY","028010093004",6.5,"SK305  412","SK344  366","SK3326038144","4","4","4","4","4","4","4","3","3","4","3","3"
"Midlands","MARKEATON BK","FORD_ST_DERBY_TO_CONF_WITH_R_DERWENT","028010093008",1.5,"SK344  366","SK361  360","SK3602035984","4","4","4","4","4","4","3","3","3","4","4","4"
"Midlands","MACKWORTH BK","A52_KIRK_LANGLEY_TO_FORD_AT_HOME_FM","028010094004",3,"SK285  391","SK312  383","SK2893139003",,"5","6","6","5","5","5","5","5","5","5","5"
"Midlands","MACKWORTH BK","FORD_AT_HOME_FARM_TO_CONF_MARKEATON_BK","028010094008",2.7,"SK312  383","SK333  377","SK3317037902","4","5","6","5","5","5","5","5","5","5","5","5"
"Midlands","BOTTLE BK","FB_AT_GREENHILLOCKS_TO_MAREHAY_STW","028010095004",1,"SK402  490","SK398  482","SK4002748531","3","2","2","2","2","2","2","2","2","2","2","2"
"Midlands","BOTTLE BK","US_DENBY_POTTERY_TO_KILBURN_TOLL_BARR","028010095012",1.9,"SK390  474","SK378  463","SK3777146329","3","3","4","3","3","4","5","5","5","5","5","5"
"Midlands","BOTTLE BK","KILBURN_STW_TO_CONF_PARK_BK","028010095022",3.3,"SK374  449","SK372  435","SK3713143521","6","6","6","6","6","6","6","6","6","6","6","6"
"Midlands","BOTTLE BK","CONF_PARK_BK_TO_CONF_R_DERWENT","028010095024",3.1,"SK372  435","SK359  407","SK3629741371","5","5","5","5","5","6","5","5","5","5","5","5"
"Midlands","ECCLESBOURNE R","B5023_MILLERS_GREEN_TO_WIRKSWORTH_STW","028010097004",1,"SK284  527","SK284  521","SK2839352646","2","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","ECCLESBOURNE R","WIRKSWORTH_STW_TO_BATEMAN_BR","028010097008",1.1,"SK284  521","SK285  512","SK2855051111","4","4","4","4","4","4","4","4","4","4","4","4"
"Midlands","ECCLESBOURNE R","BATEMAN_BR_TO_WEIR_AT_PUSS_IN_BOOTS","028010097012",8.8,"SK285  512","SK319  446","SK3197744627",,"4","4","4","4","3","3","3","3","3","3","3"
"Midlands","ECCLESBOURNE R","WEIR_AT_PUSS_IN_BOOTS_TO_R_DERWENT","028010097016",5.3,"SK319  446","SK350  431","SK3472343254","3","4","4","4","4","3","3","3","3","3","3","3"
"Midlands","AMBER R","CONF_SMALLEY_BK_TO_OGSTON_RES_OUTFALL","028010100004",7.6,"SK333  638","SK379  598","SK3600161564","3","3","4","3","3","3","3","3","3","3","3","3"
"Midlands","AMBER R","OGSTON_RES_OUTFALL_TO_CONF_PRESS_BK","028010100008",0.7,"SK379  598","SK384  597","SK3839459719","3","2","3","3","3","3","3","2","2","2","2","2"
"Midlands","AMBER R","PRESS_BK_TO_CONF_ALFRETON_BK","028010100012",3.4,"SK384  597","SK387  565","SK3873456914","4","3","4","4","3","3","3","3","3","3","3","3"
"Midlands","AMBER R","CONF_ALFRETON_BK_TO_WEIR_MILL_BR","028010100016",4.4,"SK387  565","SK379  536","SK3810355506","6","5","5","5","5","5","5","5","5","5","5","4"
"Midlands","AMBER R","WEIR_MILL_BR_TO_CONF_HARTSHAY_BK","028010100022",2.5,"SK379  536","SK375  519","SK3757052001","5","5","5","5","5","5","5","5","5","5","5","4"
"Midlands","AMBER R","HARTSHAY_BK_TO_A610T_RD_BR_RIDGEWAY","028010100024",2.3,"SK375  519","SK357  518","SK3586252220","5","5","5","5","5","5","5","5","5","5","4","4"
"Midlands","AMBER R","A610T_RD_BR_RIDGEWAY_TO_R_DERWENT","028010100028",1.5,"SK357  518","SK346  514","SK3480251690","5","5","5","5","5","5","5","5","5","5","4","4"
"Midlands","HARTSHAY BK","BUTTERLEY_RES_TO_A610_RD_CULVERT","028010102004",1.3,"SK397  519","SK388  515","SK3753151981","4","5","5","5","4","5","5","5","4","4","4","3"
"Midlands","HARTSHAY BK","A610_RD_CULVERT_TO_MINOR_RD_L_HARTSHAY","028010102008",1,"SK388  515","SK380  513","SK3753151981","5","5","5","5","5","5","5","5","4","4","4","3"
"Midlands","HARTSHAY BK","LOWER_HARTSHAY_TO_CONF_WITH_R_AMBER","028010102012",0.9,"SK380  513","SK375  519","SK3753151981","5","5","4","4","4","4","4","4","4","4","4","3"
"Midlands","ALFRETON BK","RAIL_BR_HUTHWAITE_TO_FORD_BR_LANE","028010104004",2.3,"SK462  581","SK440  576","SK4401057660","5","5","6","6","6","5","5","5","5","5","4","4"
"Midlands","ALFRETON BK","PARKMILL_DRIVE_TO_A61_ROADBRIDGE_DS_ALFR","028010104016",0.591,"SK423  573","SK408  566","SK4079056610","6","6","6","6","6","6","6","6","6","6","6","6"
"Midlands","ALFRETON BK","A61_RD_BRIDGE_TO_CONF_R_AMBER","028010104022",2.6,"SK408  566","SK387  565","SK3895756778","6","6","6","6","6","6","6","6","6","6","6","6"
"Midlands","WESTWOOD BK","RAILWAY_CULVERT_TO_BLACKWELL_BK","028010105008",1.8,"SK419  603","SK419  586","SK4181259944","2","2","3","3","3","3","3","3","3","3","3","3"
"Midlands","WESTWOOD BK","BLACKWELL_BK_TO_CONF_WITH_ALFRETON_BK","028010105012",1.5,"SK419  586","SK420  572","SK4199157494","5","5","5","5","5","6","6","6","6","6","5","5"
"Midlands","PRESS BK","CLAYCROSS_STW_TO_B6014_RD_BR_STRETTON","028010106008",1.5,"SK389  629","SK388  614","SK3877361429","6","5","5","5","5","5","5","5","4","4","4","4"
"Midlands","PRESS BK","B6014_RD_BR_STRETTON_TO_R_AMBER","028010106012",2,"SK388  614","SK384  597","SK3842859720","5","4","4","4","4","5","5","5","4","4","4","4"
"Midlands","BENTLEY BK","MATLOCK_MOOR_TO_CONF_TRIB_DRABBLE","028010109004",3,"SK309  628","SK311  601","SK3122560104",,"4","4","3","3","3","3","3","3","3","3","3"
"Midlands","BENTLEY BK","A615_MATLOCK_TO_CONF_WITH_R_DERWENT","028010109012",0.6,"SK305  597","SK300  598","SK3013859815","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","WYE R","BR_AT_ASHWOOD_PK_BUXTON_TO_BUXTON_STW","028010112004",3.7,"SK052  733","SK081  725","SK0639673544","2","2","2","2","2","2","2","2","2","2","2","2"
"Midlands","WYE R","BUXTON_STW_OUTFALL_TO_ASHWOOD_QUARRY","028010112008",0.5,"SK081  725","SK085  725","SK0845672530","4","4","3","3","3","3","3","3","3","3","3","3"
"Midlands","WYE R","ASHWOOD_QUARRY_TO_KINGSTERNDALE","028010112012",1.1,"SK085  725","SK093  724","SK0934472515","4","4","3","3","3","3","3","3","3","3","3","3"
"Midlands","WYE R","RD_BR_KINGSTERNDALE_TO_TOPLEY_PIKE","028010112016",0.4,"SK093  724","SK1040 7250","SK0981172477","4","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","WYE R","TOPLEY_PIKE_TO_A6_RD_BR_SHACKLOW_WDS","028010112022",14.3,"SK1040 7250","SK179  698","SK1373173168","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","WYE R","A6_RD_BR_SHACKLOW_WOODS_TO_ROWSLEY","028010112024",17,"SK179  698","SK257  656","SK1943769616","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","WYE R","ROWSLEY_TO_CONF_WITH_R_DERWENT","028010112028",0.5,"SK257  656","SK259  654","SK2570165684","3","3","4","3","3","3","3","3","3","3","3","3"
"Midlands","LATHKILL R","FB_AT_CALES_DALE_TO_MINOR_RD_BR_ALPORT","028010113004",5.5,"SK175  654","SK220  646","SK2200064700","3","3","4","4","4","3","4","4","4","4","4","4"
"Midlands","LATHKILL R","MINOR_RD_BR_ALPORT_TO_CONF_WITH_R_WYE","028010113008",2.3,"SK220  646","SK242  657","SK2413265713","3","3","4","4","4","3","4","4","4","4","4","4"
"Midlands","BRADFORD R","FORD_GRATTON_FM_TO_CONF_R_LATHKILL","028010114004",5.3,"SK209  616","SK220  644","SK2196064472","3","3","4","4","4","4","4","4","4","4","4","4"
"Midlands","STOKE BK","STONEY_MIDDLETON_TO_CONF_R_DERWENT","028010117004",1.5,"SK229  755","SK243  753","SK2386075303","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","NOE R","TRACK_BR_AT_EDALE_TO_PEAKSHOLE_WATER","028010119004",9.5,"SK123  851","SK175  832","SK1754683332","1","1","1","1","1","1","1","2","2","2","1","1"
"Midlands","NOE R","PEAKSHOLE_WATER_TO_CONF_R_DERWENT","028010119008",3,"SK175  832","SK204  825","SK2033582619","2","2","3","3","3","3","3","3","3","3","3","2"
"Midlands","ASHOP R","CONF_R_ALPORT_TO_CONF_R_DERWENT","028010122008",3.3,"SK141  895","SK164  878","SK1638887885","1","1","1","1","1","1","1","1","1","1","1","1"
"Midlands","RAMSLEY BK","CONF_TRIB_FROM_NEWBOLD_TO_CONF_RTRENT","028010123004",10.4,"SK410  188","SK393  272","SK3930026500","6","5","5","5","5","5","5","5","5","5","5","4"
"Midlands","STAUNTON HAROLD BK","OLD_PARKS_TO_STAUNTON_HAROLD_RES","028010123404",3.5,"SK365  188","SK376  218","SK3770021700","4","4","4","4","3","3","3","3","3","3","3","3"
"Midlands","SCOTS(TICKNALL) BK","SERPENTINE_WOOD_TO_STANTON_H_RES","028010123604",0.5,"SK361  238","SK367  238","SK3670023800","6","6","6","6","6","5","5","5","5","5","5","5"
"Midlands","CUTTLE BK","US_OF_RECKITTS_TO_MOOR_LANE_BRIDGE","028010124004",3.915,"SK347  328","SK367  307","SK3499532533","4","4","4","4","4","4","4","4","4","4","4","4"
"Midlands","CUTTLE BK","MOOR_LANE_BRIDGE_TO_CONF_R_TRENT","028010124008",2.565,"SK367  307","SK393  272","SK3660630746","3","3","3","3","3","4","4","4","3","3","3","3"
"Midlands","EGGINTON BK","BRADBOURN_TRUSLEY_TO_A38_ROAD_BRIDGE","028010127004",10.5,"SK264  336","SK276  278","SK2700028600",,"5","5","5","5","5","5","5","5","4","4","4"
"Midlands","EGGINTON BK","A38_ROAD_BRIDGE_TO_CONF_WITH_RTRENT","028010127008",2.1,"SK276  278","SK295  269","SK2950628016","4","4","3","4","4","4","4","4","3","3","3","3"
"Midlands","DOVE R","CROWDECOTE_RD_BR_TO_HARTINGTON","028010128004",7,"SK100  651","SK120  598","SK1207559837","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","DOVE R","HARTINGTON_TO_CONF_R_MANIFOLD","028010128008A",,"SK120  598","SK102  376","SK1580645815","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","DOVE R","CONF_R_MANIFOLD_TO_R_CHURNET","028010128008B",,,,"SK1580645815","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","DOVE R","R_CHURNET_TO_R_TEAN","028010128012",5,"SK102  376","SK106  344","SK1122339667","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","DOVE R","R_TEAN_TO_FOSTON_BK","028010128016",18,"SK1060 3440","SK1948 2987","SK1112033970","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","DOVE R","FOSTON_BK_TO_R_TRENT","028010128022",13.1,"SK1948 2987","SK2798 2606","SK2684826988","3","3","4","3","3","3","3","3","3","3","3","3"
"Midlands","HILTON BK","BRAILSFORD_BK_TO_LONGFORD_MILL_OUTLET","028010129004",0.5,"SK221  377","SK219  374","SK2190037400",,"4","5","4","4","4","4","4","4","4","4","4"
"Midlands","HILTON BK","LONGFORD_MILL_OUTLET_TO_RDOVE","028010129008",14,"SK219  374","SK265  274","SK2420030600","4","4","4","4","4","4","4","4","4","4","4","4"
"Midlands","BRAILSFORD BK","A52_RD_BR_BRAILSFORD_TO_CONF_SHIRLEY_BK","028010129504",5.8,"SK243  419","SK221  377","SK2230038000",,"4","4","4","4","4","4","4","4","4","3","3"
"Midlands","SHIRLEY BK","MILL_LANE_BR_SHIRLEY_TO_HILTON_BK","028010129804",6.8,"SK214  409","SK221  377","SK2185037920",,"4","5","5","4","4","4","4","4","4","4","4"
"Midlands","ROLLESTON BK","CONF_BUSHTON_BRIDGE_TO_CONF_TUTBURY_MILL","028010131004",4.2,"SK206  262","SK2417 2819","SK2360027700",,,"6","6","6","6","5","5","5","5","5","5"
"Midlands","TUTBURY MILL FLEAM","CONF_ROLLESTON_BROOK_TO_CONF_RIVER_DOVE","028010131008",0.8,"SK2417 2819","SK2491 2836","SK2360027700","5","5","4","4","4","4","4","4","4","5","5","5"
"Midlands","MARCHINGTON BK","CONF_DS_STOCK_LN_TO_RIVER_DOVE","028010132004",2.2,"SK1225 2990","SK1425 3143","SK1400031100","3","3","3","3","4","4","3","3","3","3","3","3"
"Midlands","MARSTON BK","MARSTON_MONTGOMERY_RD_BR_TO_R_DOVE","028010134004",8,"SK132  381","SK133  320","SK1280033400","5","5","6","6","6","6","5","5","5",,"5","5"
"Midlands","PICKNALL BK","LOXLEY_LN_BR_TO_CONF_WITH_R_DOVE","028010135004",7.7,"SK064  325","SK117  318","SK1170031900","3","4","4","4","4","4","4","4","4","4","4","3"
"Midlands","TEAN R","FB_BELOW_GODLEY_BK_TO_TRIB_AT_MOBBERLEY","028010136004",3.8,"SJ985  444","SK006  414","SJ9960042800","3","3","3","3","3","3","3","3","3","2","2","2"
"Anglian","WAITHE BK","BRATTON HSE FM...TETNEY BLOW WEL","029201102002",4.5,"TA2755000890","TA3205000920","TA3131200642","6","6","6","6","6","6","6","6","6","6","6","5"
"Anglian","WAITHE BK","HATCLIFFE HSE...BRATTON HSE FM","029201102003",10.7,"TA2031000170","TA2755000890","TA2522101690","6","6","6","6","6","6","6","6","6","6","6","6"
"Anglian","GT EAU","LONG EAU...CLOVES BRIDGE","029240001001",2.3,"TF4620089410","TF4682090510","TF4683690356","5","6","6","5","6","5","5","5","5","5","5","5"
"Anglian","GT EAU","WITHERN...LONG EAU","029240001002",11.8,"TF4236082180","TF4620089410","TF4250082600","6","6","6","6","6","6","6","6","6","6","6","6"
"Anglian","GT EAU","CALCEBY...WITHERN","029240001003",10,"TF3900076000","TF4236082180","TF4250082600","6","6","6","6","6","6","6","6","6","6","6","6"
"Anglian","WOLD GRIFT DRN","MARKBY...MABLETHORPE STW","029271501003",4.2,"TF4763078800","TF4908082420","TF4764679432","4","4","4","4","4","4","4","4","4","4","4","4"
"Anglian","WOLD GRIFT DRN","SALEBY WOODHOUSE...MARKBY","029271501004",6.5,"TF4458078330","TF4763078800","TF4764679432",,"4","4","4","4","4","4","4","4","4","4","4"
"Anglian","WILLOUGHBY HIGH DRAIN","HEADWATERS...ORBY DRAIN","029301601001",8.4,"TF5570072680","TF5600072970","TF5418771394",,"3","5","4","4","4","4","4","4","4","4","4"
"Anglian","LYMN/STEEPING","LADY WATHS BK...STEEPING RELIEF D/S CON","030011401001",12.5,"TF4339063620","TF5270059800","TF4814959224","4","5","6","5","5","5","4","4","4","4","4","4"
"Anglian","WITHAM","DOGDYKE...GRAND SLUICE","030020001001",17.5,"TF2092055490","TF3237044490","TF2657447543","5","6","6","6","6","6","6","6","6","6","6","5"
"Anglian","WITHAM","BARDNEY...DOGDYKE","030020001002",18.2,"TF1128068510","TF2092055490","TF1965656231","5","6","6","6","6","6","6","6","6","6","6","5"
"Anglian","WITHAM","BRANSTON ISLAND LOCK...BARDNEY","030020001003",1.5,"TF1044070040","TF1128068510","TF1114269236","6","6","6","6","6","6","6","6","6","6","6","5"
"Anglian","OLD WITHAM","BARLINGS EAU...BRANSTON ISLAND LK","030020001004",1.9,"TF0975071290","TF1044070040","TF0583571516","5","6","6","6","5","5","5","5","5","5","5","4"
"Anglian","WITHAM","FISKERTON SLUICE...BRANSTON ISLAND LK","030020001005",1.9,"TF0888071150","TF1044070040","TF0583571516","5","6","6","6","5","5","5","5","5","5","5","4"
"Anglian","WITHAM","BRAYFORD...BARLINGS EAU","030020001006",12.9,"SK9731071030","TF0975071290","TF0583571516","5","6","6","6","5","5","5","5","5","5","5","4"
"Anglian","WITHAM","NORTH HYKEHAM STW...BRAYFORD","030020001007",5.5,"SK9565066110","SK9731071030","SK9662768169","5","6","6","6","6","6","5","5","5","5","5","5"
"Anglian","WITHAM","BRANT...NORTH HYKEHAM STW","030020001008",2.8,"SK9522063760","SK9565066110","SK9557565151","5","6","6","6","6","5","5","5","5","5","5","5"
"Anglian","WITHAM","SHIRE DYKE...BRANT","030020001009",18.7,"SK8570052160","SK9522063760","SK9184162784","5","6","6","6","6","5","5","5","5","5","5","5"
"Anglian","WITHAM","FOSTON BECK...SHIRE DYKE","030020001010",14.6,"SK8688045040","SK8570052160","SK8424648884","5","6","6","6","6","6","5","5","5","5","5","5"
"Anglian","WITHAM","MARSTON STW...FOSTON BECK","030020001011",5.2,"SK9075042890","SK8688045040","SK8929543937","5","6","6","6","6","6","6","5","5","5","5","5"
"Anglian","WITHAM","MOW BECK...MARSTON STW","030020001012",11,"SK9159036470","SK9075042890","SK9284041380","5","6","6","6","6","6","6","6","5","5","5","5"
"Anglian","WITHAM","P A S...CRINGLE BROOK","030020001014",3.8,"SK9296027360","SK9289030420","SK9297027410","6","6","6","6","6","6","6","6","6","6","6","6"
"Anglian","SINCIL DYKE","SAND HILL BECK...BRANSTON LOCK","030020001016",6.8,"TF0427071350","TF1045069920","TF0586271458","6","6","6","6","6","6","6","6","6","6","6","6"
"Anglian","SINCIL DYKE","CANWICK STW...SAND HILL BECK","030020001017",4.5,"SK9976070900","TF0427071350","TF0154770926","6","6","6","6","6","6","6","6","6","6","6","6"
"Anglian","SINCIL DYKE","BARGATE WEIR...CANWICK STW","030020001018",4,"SK9695069570","SK9976070900","SK9860970880","5","6","6","6","6","5","5","5","5","5","5","5"
"Anglian","CRINGLE BK","SKILLINGTON...WITHAM","030020166001",7.5,"SK8980025000","SK9289030420","SK9204728742","6","6","6","6","6","6","6","6","6","6","6","6"
"Anglian","BRANT","SAND BECK...WITHAM","030020460001",11.5,"SK9193053720","SK9522063760","SK9486162537","6","6","6","6","6","5","6","5","6","6","6","6"
"Anglian","TILL","CRICKET TILL...FOSSDYKE CANAL","030020648001",5.2,"SK9055078750","SK9176074860","SK9043976799","4","6","6","5","5","4","5","4","5","4","4","4"
"Anglian","TILL","KEXBY BECK...CRICKET TILL","030020648002",7.7,"SK8834083380","SK9055078750","SK9043976799","4","6","6","5","5","4","5","4","5","4","4","4"
"Anglian","TILL","HEAPHAM BECK...KEXBY BECK","030020648003",4.7,"SK8836086240","SK8834083380","SK8788584609","4","6","6","6","5","5","6","6","6","5","5","5"
"Anglian","TILL","SOMERBY BECK...HEAPHAM BECK","030020648004",4.7,"SK8666089160","SK8836086240","SK8788584609","4","6","6","6","5","5","6","6","6","5","5","5"
"Anglian","BARLINGS EAU","SHORT FERRY PUMP...WITHAM","030020738001",1,"TF0914071890","TF0975071290","TF0938471637","5","6","6","6","6","6","6","6","6","6","6","5"
"Anglian","BARLINGS EAU","DUNHOLME BECK...NETTLEHAM BECK","030020738004",3.7,"TF0518079390","TF0649076740","TF0573378000",,"6","6","6","6","6","6","6","6","6","6","6"
"Anglian","BARLINGS EAU","FALDINGWORTH GRANGE...DUNHOME BK","030020738005",5.3,"TF0408084440","TF0518079390","TF0573378000",,"6","6","6","6","6","6","6","6","6","6","6"
"Anglian","NETTLEHAM BK","NETTLEHAM STW...RAILWAY","030020741002",3.3,"TF0195075950","TF0536076210","TF0338576340","6","6","6","6","6","6","6","6","6","6","6","6"
"Anglian","BILLINGHAY SKIRTH","FARRAWAY DRAIN...WITHAM","030020929001",6,"TF1464053220","TF1950056540","TF1578354925",,"6","6","6","6","6","6","6","6","6","6","6"
"Anglian","BAIN","HORNCASTLE CANAL...CONINGSBY STW","030021026002",1,"TF2282058670","TF2144056740","TF2283158665","5","6","6","6","6","5","6","5","6","6","6","5"
"Anglian","BAIN","GOULCEBY BECK...WARING","030021026005",13.1,"TF2482078970","TF2555069380","TF2497071908","5","6","6","6","6","5","5","5","5","5","6","5"
"Anglian","HORNCASTLE CANAL","DALDERBY FORD...BAIN","030021027001",10.3,"TF2466065850","TF2282058670","TF2283158665","5","6","6","6","6","5","6","5","6","6","6","5"
"Anglian","KYME EAU","PRIORY...WITHAM","030021121001",7.5,"TF1675049650","TF2094054000","TF1782649780","6","6","6","6","6","6","6","6","6","6","6","6"
"Anglian","KYME EAU","COBBLERS LOCK...PRIORY","030021121002",4.8,"TF1280049660","TF1675049650","TF1782649780","6","6","6","6","6","6","6","6","6","6","6","6"
"Anglian","SLEA NEW","RUSKINGTON BECK...COBBLERS LOCK","030021121003",2.2,"TF1066049680","TF1275049720","TF1782649780","6","6","6","6","6","6","6","6","6","6","6","6"
