"REGION","RNAME","SNAME","KEY","LENGTH","UPNGR","DOWNNGR","CHEMNGR","P_GQA_90","P_GQA_95","P_GQA_00","P_GQA_01","P_GQA_02","P_GQA_03","P_GQA_04","P_GQA_05","P_GQA_06","P_GQA_07","P_GQA_08","P_GQA_09"
"Midlands","SARNWEN BK","SOURCE_TO_CONF_AFON_VYRNWY","054010464004",5.5,"SJ2645 1808","SJ3114 1771","SJ2906018200",,"5","5","5","5","5","5","5","5","5","5","5"
"Midlands","TANAT A","CONF_AFON_ERITH_TO_CONF_IWRCH","054010469004",11.1,"SJ0555 2599","SJ1458 2438","SJ1155724516",,"2","2","2","2","2","2","2","2","1","1","1"
"Midlands","TANAT A","CONF_IWRCH_TO_CONFAFON_VYRNWY","054010469008",16.3,"SJ1458 2438","SJ2433 2065","SJ2420022900",,"2","2","2","2","2","3","3","3","3","3","3"
"Midlands","CYNLLAITH A","PEN_Y_GWELLY_RES_TO_CONF_TANAT","054010471004",12,"SJ2230 3212","SJ2180 2352","SJ2049425126",,,"2","3","3","3","3","3","2","2","2","2"
"Midlands","IWRCH A","PONT_MAEN_GWYNEDD_TO_CONF_TANAT","054010473004",7,"SJ1264 2981","SJ1456 2437","SJ1411025640",,,"2","2","2","2","2","2","2","1","1","1"
"Midlands","RHAEADR A","PISTYLL_RHAEADR_TO_CONF_AFON_TANAT","054010474004",8,"SJ0720 2950","SJ1302 2471","SJ1316624959",,"2","2","2","2","2","2","2","3","3","3","1"
"Midlands","CAIN A","RD_BR_LLANFYLLIN_TO_LLANFYLLIN_STW","054010478004",1.2,"SJ1433 1962","SJ1532 1881","SJ1494019100",,"4","2","2","2","2","3","3","3","2","2","1"
"Midlands","CAIN A","LLANFYLLIN_STW_TO_GREEN_HALL","054010478008",1.4,"SJ1532 1881","SJ1649 1889","SJ1649018890",,,"3","3","3","3","3","3","3","2","2","2"
"Midlands","CAIN A","GREEN_HALL_TO_CONF_BROGAN","054010478012",4.4,"SJ1649 1889","SJ2046 2066","SJ1870020500",,"5","3","3","3","3","3","3","2","2","2","2"
"Midlands","CAIN A","CONF_BROGAN_TO_CONF_AFON_VYRNWY","054010478016",4,"SJ2046 2066","SJ2275 203","SJ2170019900",,"4","3","3","3","3","3","4","3","3","2","2"
"Midlands","BANWY A","NANT_YSGUTHAN_CONF_TO_CONF_A_EINION","054010483004",17,"SH9533 1269","SJ0840 0797","SJ0315909764",,"2","2","2","2","2","2","2","2","2","1","1"
"Midlands","BANWY A","CONF_A_EINION_TO_CONF_A_VYRNWY","054010483008",12.5,"SJ0840 0797","SJ1433 1142","SJ1431511319",,"2","2","2","2","2","2","2","2","2","2","2"
"Midlands","GAM A","CWM_DERWEN_FORD_TO_CONF_AFON_BANWY","054010485004",9,"SH9580 0523","SJ0171 1036","SJ0111109718",,"2","2","2","2","2","2","2","2","2","1","1"
"Midlands","TWRCH A","NANT_YR_HELYG_BR_TO_CONF_AFON_BANWY","054010488004",7.5,"SH9552 1640","SH9908 1103","SH9898111569",,"2","1","1","1","2","2","2","1","1","1","2"
"Midlands","COWNWY A","BRYN_COWNWY_TO_CONF_AFON_VYRNWY","054010490004",1.5,"SJ0097 1784","SJ0210 1709","SJ0140017400",,"2","2","2","1","2","2","2","2","1","1","1"
"Midlands","GUILSFIELD BK (NEW CUT)","GUILSFIELD_MILL_FORD_TO_R_SEVERN","054010495004",9.8,"SJ217  117","SJ253  136","SJ2531013680",,"5","4","4","4","4","4","4","5","5","5","4"
"Midlands","CAMLAD R","CAEBITRA_BK_TO_WHITTERAGE_BR_CHIRBURY","054010501004",6.2,"SO2701 9401","SO271  983","SO2710098300",,"4","4","4","4","4","4","4","4","4","3","3"
"Midlands","CAMLAD R","WHITTERAGE_BR_CHIRBURY_TO_RSEVERN","054010501008",17,"SO271  983","SJ208  006","SO2140099900",,"5","4","4","5","5","5","4","4","4","4","4"
"Midlands","CAEBITRA BK","OLD_HALL_TO_CAMLAD","054010502004",10,"SO2031 9040","SO2702 9401","SO2509093080",,"3","3","3","3","3","4","3","3","2","2","2"
"Midlands","RHIW A","SOUTH_NANT_Y_LLYN_TO_CONF_NORTH_ARM","054010508004",7.4,"SJ0277 0079","SJ090  016","SJ1144002390",,"2","2","2","2","2","2","2","2","1","1","1"
"Midlands","RHIW A","NORTH_LLETTY_GWILYM_TO_BERRIEW_STW","054010508008",21.745,"SJ0505 0337","SJ1895 0057","SJ1144002390",,"2","2","2","2","2","2","2","2","1","1","1"
"Midlands","RHIW A","BERRIEW_STW_TO_CONF_RSEVERN","054010508012",1,"SJ1895 0057","SJ200  002","SJ1930000400",,"2","2","2","2","2","2","2","2","2","2","2"
"Midlands","THE MULE","A489_GILFACH_BR_KERRY_TO_RSEVERN","054010513004",11,"SO1410 8997","SO159  947","SO1620090400",,"3","4","4","4","4","4","3","3","3","3","3"
"Midlands","BECHAN BK","GWGIA_POOL_OUTLET_TO_CONF_RSEVERN","054010515004",10.5,"SO0554 9800","SO144  934","SO1424093510",,"4","3","3","3","3","3","3","3","3","3","3"
"Midlands","CARNO A","AFON_CLEDAN_CONF_TO_CONF_R_SEVERN","054010524004",10,"SN9598 9732","SO027  916","SO0090093800",,"3","2","2","3","3","3","2","2","2","2","2"
"Midlands","CERIST A","VAN_TO_CONF_TRANNON","054010524008",7.5,"SN9507 8739","SO0121 9098","SN9916090280","2","2","2","2","2","2","2","2","2","1","1","1"
"Midlands","CERIST A","CONF_TRANNON_TO_CONF_RSEVERN","054010524012",1.5,"SO0121 9098","SO0251 9150","SO0149090860",,,"2","2","2","2","3","2","2","1","1","1"
"Midlands","TRANNON A","LLAWRYGLEN_FORD_TO_CONF_AFON_CERIST","054010528012",8.5,"SN9328 9110","SO012  909","SN9680090300",,"2","2","2","2","2","3","2","2","2","2","4"
"Midlands","CLYWEDOG A","LAKE_CLYWEDOG_DAM_SPILLWAY_TO_R_SEVERN","054010535004",5.3,"SN9120 8700","SN9541 8477","SN9130086800","2","2","2","1","2","2","2","2","1","1","1","1"
"Midlands","DULAS A","TYLWCH_TO_CONF_RSEVERN","054010536004",5,"SN9700 8019","SN9464 8364","SN9507082450",,"2","2","2","2","2","2","2","2","2","1","1"
"Midlands","BROCHAN A","GLYN_BROCHAN_TO_AFON_DULAS","054010538004",2.3,"SN9297 8291","SN9474 8377","SN9440083560",,"2","2","2","2","2","2","2","2","2","1","1"
"Wales","Wye","Tidal Limit - Conf.Valley Bk.","055010000102",5.4,"SO536  097","SO539  051","SO5387205100","4","3","2","2","2","2","2","2","2","2","2","2"
"Wales","Wye","Conf. Valley Bk - T. junction on A466","055010000103A",0.5,"SO535  101","SO536  097","SO5360009820","4","3","2","2","2","2","2","2","2","2","2","2"
"Wales","Wye","T. junction on A466 - Conf. R. Monnow","055010000103B",3.3,"SO512  122","SO535  101","SO5360009820","4","3","2","2","2","2","2","2","2","2","2","2"
"Wales","Wye","Conf. R. Monow - E.of Wyastone Leys (foo","055010000105A",4.8,"SO534  155","SO512  122","SO5125012820","4","3","2","2","2","2","2","2","2","2","2","2"
"Wales","Wye","E. of Wyastone Leys (footpath meets wood","055010000105B",2.6,"SO553  144","SO534  155","SO5125012820","4","3","2","2","2","2","2","2","2","2","2","2"
"Wales","Wye","R.Wye nr. Rhydspence - Conf. Dulas Bk (H","055010000120B",5.7,"SO230  428","SO244  471","SO2582947480",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","Wye","Conf.Hay Dulas Bk. - Conf.Digedi Bk.","055010000123",6.1,"SO198  408","SO230  428","SO2582947480",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","Wye","Conf.Digedi Bk. - Conf.Scithwen Bk.","055010000124",13.1,"SO114  415","SO198  408","SO1792039230",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","Wye","Conf.Scithwen Bk. - Conf.R.Duhonw","055010000126",12.7,"SO064  511","SO114  415","SO1126041580",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","Wye","Conf.R.Duhonw - Conf.R. Irfon","055010000130",3.5,"SO0340 5160","SO064  511","SO0424751160",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","Wye","Conf. R. Irfon - Conf. Builth Dulas BK","055010000131",2.1,"SO0210  5300","SO0340 5160","SO0424751160",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","Wye","Conf.Builth Dulas Bk. - Conf.R.Ithon","055010000132",5,"SO013  564","SO021  530","SO0424751160",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","Wye","Conf.R.Ithon - Conf.Llanwrthwl Dulas Bk.","055010000133",11.4,"SN978  634","SO013  564","SO0137558280",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","Wye","Conf.Llanwrthwl Dulas Bk.-Conf.R.Elan","055010000134",2.7,"SN967  657","SN978  634","SO0137558280",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","Wye","Conf.R.Elan - Rhayader STW","055010000135",2.4,"SN978  674","SN967  657","SN9711066210",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","Wye","Rhayader STW - Conf.Marteg","055010000135A",6.4,"SN952  715","SN978  674","SN9711066210",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","Wye","Conf.R.Marteg - Conf.R.Dernol","055010000136",4.6,"SN920  746","SN952  715","SN9514571562",,"1","1","1","1","1","1","1","2","2","2","1"
"Wales","Wye","Conf.R.Dernol - Conf.R.Bidno","055010000137",8.4,"SN893  804","SN920  746","SN9514571562",,"1","1","1","1","1","1","1","2","2","2","1"
"Wales","Wye","Conf.R.Bidno - Conf.R.Tarenig","055010000138",7.2,"SN841  826","SN893  804","SN9514571562",,"1","1","1","1","1","1","1","2","2","2","1"
"Wales","Wye","Conf.R.Tarenig - Conf.abv.Y Drum","055010000139",3.8,"SN827  852","SN841  826","SN8408082690",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","TINTERN BROOK","Conf.R.Wye - Conf.Fedw Bk.","055010000201",3.2,"ST503  998","SO531  003","SO5295000210",,"3","2","2","2","2","2","2","2","2","2","2"
"Wales","TROTHY","Conf.R.Wye - Dingestow Ct.Trib.","055010000401",8.9,"SO459  100","SO516  116","SO5096011460","5","4","3","3","4","4","4","4","4","4","4","4"
"Wales","TROTHY","Dingestow Ct.Trib. - Conf.Llymon Bk.","055010000401A",6.8,"SO443  140","SO459  100","SO4595310320","5","3","3","3","3","4","4","4","4","4","4","4"
"Wales","TROTHY","Conf.Llymon Bk. - Conf.Grange Wood Bk.","055010000402",4.5,"SO409  149","SO443  140","SO4307014392","4","3","3","3","3","4","3","4","4","4","4","4"
"Wales","TROTHY","Conf.Grange Wood Bk.-Llan Y Mynach Bk.","055010000402A",4.1,"SO381  132","SO409  149","SO4307014392","4","3","3","3","3","4","3","4","4","4","4","4"
"Wales","TROTHY","Conf.Llan Y Mynach Bk.-Conf.Tre-Rhew Bk.","055010000403",6.6,"SO372  175","SO381  132","SO3713014145","4","2","2","3","3","3","3","3","3","3","3",
"Wales","TROTHY","Conf.Tre-Rhew Bk. - Conf.at Glen Trothy","055010000403A",2.5,"SO377  190","SO372  175","SO3709217768","4","2","2","3","3","3","3","3","3","3","3","4"
"Wales","LLYMON BROOK","Conf.R.Trothy - Conf.nr.Llanfaendr","055010000501",4.4,"SO425  173","SO443  140","SO4426514290","4","3","3","3","3","3","3","3","3","4","4",
"Wales","LLAN-Y-MYNACH BROO","Conf.R.Trothy - Conf.at Green Moors","055010000601",5,"SO350  157","SO381  132","SO3645114066","4","4","4","4","5","4","4","5","5","5",,
"Wales","MONNOW","Conf.R.Wye - Conf.Osbaston Trib.","055010000701",3.1,"SO498  140","SO512  122","SO5052012380","2","2","2","2","2","2","2","2","2","2","2","2"
"Wales","MONNOW","Conf.Osbaston Trib.-Trib.at Rockfield","055010000701A",3.3,"SO482  149","SO498  140","SO5052012380","2","2","2","2","2","2","2","2","2","2","2","2"
"Wales","MONNOW","Conf. Trib at Rockfield - Woods nr. Gate","055010000701B",1.8,"SO490  159","SO482  149","SO4771017320","2","2","2","2","2","2","2","2","2","2","2","2"
"Wales","MONNOW","Woods nr. Gates in Rockfield Park - Wood","055010000701C",6.2,"SO470  202","SO490  159","SO4771017320",,,"2","2","2","2","2","2","2","2","2","2"
"Wales","MONNOW","Woodside Farm - Conf. Norton Bk","055010000701D",1.6,"SO456  204","SO470  202","SO4771017320",,,"2","2","2","2","2","2","2","2","2","2"
"Wales","MONNOW","Conf. Tresenny Bk - Bend in river N. of","055010000702A",0.8,"SO460  209","SO456  204","SO4771017320",,"2","2","2","2","2","2","2","2","2","2","2"
"Wales","MONNOW","Bend in river N. of Skenfrith - Conf. R.","055010000702B",7.7,"SO413  242","SO460  209","SO4771017320",,"2","2","2","2","2","2","2","2","2","2","2"
"Wales","MONNOW","Conf.Tresenny Bk. - Conf.Dore","055010000702C",5.3,"SO399  264","SO413  242","SO4771017320",,"2","2","2","2","2","2","2","2","2","2","2"
"Wales","MONNOW","Conf. R.Dore - 150m d/s of footpath Br.","055010000703A",1.6,"SO388  257","SO399  264","SO3956526525","2","2","2","2","2","2","2","2","2","2","2","2"
"Wales","MONNOW","150m d/s of footpath br. nr. Llangua - W","055010000703B",1.5,"SO377  253","SO388  257","SO3956526525","2","2","2","2","2","2","2","2","2","2","2","2"
"Wales","MONNOW","200m d/s of track br. nr. Great Goytre -","055010000703D",4,"SO335  233","SO366  245","SO3956526525","2","2","2","2","2","2","2","2","2","2","2","2"
"Wales","MONNOW","Conf. R. Honddu - NGR SO 331 252","055010000704A",2.4,"SO331  252","SO335  233","SO3956526525","2","2","2","2","2","2","2","2","2","2","2","2"
"Wales","MONNOW","NGR SO 331 252 - Glandwr","055010000704B",0.8,"SO329  259","SO331  252","SO3956526525","2","2","2","2","2","2","2","2","2","2","2","2"
"Wales","NORTON BROOK","Conf.R. Monnow - Conf.Black Bk.","055010000801",1.9,"SO441  202","SO456  205","SO4771017320",,"2","2","2","2","2","2","2","2","2","2","2"
"Wales","TRESENNY BROOK","Conf.Monnow - Conf.Campston Trib.","055010000802",2,"SO399  234","SO413  242","SO4087524120",,"3","3","3","3","3","3","4","4","4","3","3"
"Wales","HONDDU","Conf.R.Monnow - Llanthony Priory Footbr.","055010001401",11.4,"SO287  276","SO335  233","SO3354523275","4","2","2","2","2","2","2","3","2","3","2","2"
"Wales","HONDDU","Llanthony Priory Br-Conf.at Capel-y-ffin","055010001402",5.9,"SO257  314","SO287  276","SO3354523275","4","2","2","2","2","2","2","3","2","3","2","2"
"Wales","LUGG","150m d/s of L. Kinsham Br. - 350m u/s of","055010002418B",0.5,"SO3470 6415","SO3495 6395","SO3485764077",,"3","2","2","2","2","2","2","2","2","2","2"
"Wales","LUGG","350m u/s of L. Kinsham Br. - Middlemoor","055010002418C",3,"SO322  644","SO3470 6415","SO3485764077",,"3","2","2","2","2","2","2","2","2","2","2"
"Wales","LUGG","Middlemoor Weir - Boultibrook Weir","055010002419A",1.7,"SO310  650","SO322  644","SO3485764077",,"3","2","2","2","2","2","2","2","2","2","2"
"Wales","LUGG","Boultibrook Weir - Wier near Maes Treylo","055010002419B",4.2,"SO275  656","SO310  650","SO3485764077",,"3","2","2","2","2","2","2","2","2","2","2"
"Wales","LUGG","Conf.Cascob Bk. - Conf.N.of Llangunllo","055010002420",11.8,"SO209  719","SO275  656","SO2374768205",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","ARROW","200m u/s of Llanarrow Cottage - Trib. 20","055010003905B",1.7,"SO249  513","SO260  522","SO2800955125",,,"1","2","1","2","2","2","2","2","2","2"
"Wales","ARROW","Conf.D/S Milton - Conf.Cloggau","055010003905C",9.8,"SO187  528","SO249  513","SO2161550888",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","BACK BROOK","300m d/s of track br. (nr. Stanner) - Co","055010004401B",3,"SO246  581","SO2680 5775","SO3028056975",,"1","1","2","2","2","2","2","2","2","2","2"
"Wales","GLADESTRY BROOK","Bridleway crossing of bk (nr. Lower Rabb","055010004501B",1.5,"SO239  548","SO251  546","SO2800955125",,"1","1","2","1","2","2","2","2","2","2","2"
"Wales","GILWERN BROOK","Conf.Dolyhir - Conf.at Cwn Y Bont","055010004502",5.6,"SO197  573","SO246  581","SO2456758125",,"1","2","2","1","1","1","1","1","1","1","1"
"Wales","CYNON BROOK","Conf.at Dolyhir - Conf.at Rhydolffordd","055010004503",1,"SO237  583","SO246  581","SO2454258125",,"2","2","2","2","2","2","2","2","2","2","2"
"Wales","HINDWELL BROOK","250m u/s of B4362 Rd.Br. - Weir","055010005301B",1.1,"SO333  632","SO343  633","SO3438063410",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","HINDWELL BROOK","Weir - Wegnall","055010005301C",1.1,"SO3235 6300","SO333  632","SO3438063410",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","HINDWELL BROOK","Footpath Br. nr. Knill Court - Next trib","055010005301E",0.6,"SO283  605","SO288  605","SO3438063410",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","HINDWELL BROOK","Trib. (nr. Bend in footpath) - Ditchyeld","055010005301F",1.1,"SO278  603","SO283  605","SO3438063410",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","SUMMERGILL BROOK","Conf.Knobley Bk. - Conf.Harley Dingle","055010005302",9.9,"SO205  603","SO278  608","SO3438063410",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","KNOBLEY BROOK","Conf.Hindwell Bk. - Conf.D/S Evenjob","055010005401",2.6,"SO260  618","SO278  608","SO3438063410",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","NORTON BROOK","S. edge of woods (opp. 2 cottages) - Nor","055010005501B",0.9,"SO304  675","SO311  660","SO3485764077",,"3","2","2","2","2","2","2","2","2","2","2"
"Wales","CASCOB BROOK","Conf.R.Lugg - Conf.nr.Fron","055010005601",5.8,"SO230  657","SO275  656","SO3485764077",,"3","2","2","2","2","2","2","2","2","2","2"
"Wales","BLEDDFA BROOK","Conf.R.Lugg - Conf.at Dol-Llugan","055010005701",2.8,"SO217  679","SO239  681","SO2374768205",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","CLYRO BROOK","Conf.R.Wye - Clyro STW","055010006501",2.4,"SO217  438","SO232  455","SO2296545115",,"2","3","3","3","2","3","3","4","3","3","3"
"Wales","CLYRO BROOK","Clyro STW - Conf.at Lower Cwm Gwannon","055010006502",3.2,"SO199  441","SO217  438","SO2296545115",,"2","3","3","3","2","3","3","4","3","3","3"
"Wales","HAY DULAS BROOK","Conf.R.Wye - Conf.Esgyrn Bk.","055010006701A",4.5,"SO252  396","SO230  428","SO2305642768",,"2","2","2","2","1","2","2","2","2","2","2"
"Wales","DIGEDI BROOK","Conf.R.Wye - Conf.Cilonw Bk.","055010006801",2.7,"SO217  396","SO198  408","SO2023240592",,"3","3","2","2","2","3","3","3","3","3","2"
"Wales","LLYNFI","Conf.R.Wye - Conf.Cold Bk.","055010006901A",4.8,"SO159  357","SO178  390","SO1778038830","4","4","4","3","3","3","4","4","4","3","3","3"
"Wales","LLYNFI","Conf.Cold Bk. - Talgarth STW O/f","055010006901B",1.5,"SO151  350","SO159  357","SO1558835521","4","5","4","3","3","4","4","4","4","4","3","3"
"Wales","LLYNFI","Talgarth STW O/f - Conf.R.Dulas","055010006901C",0.6,"SO149  344","SO151  350","SO1506034750",,"3","2","2","2","2","5","5","5","3","3","3"
"Wales","LLYNFI","Conf.R.Dulas - Pont Hemley","055010006902A",6.5,"SO128  291","SO149  344","SO1506034750",,"3","2","2","2","2","5","5","5","3","3","3"
"Wales","LLYNFI","Pont Hemley - Outlet llangorse Lk.","055010006903A",3,"SO126  270","SO128  291","SO1278728078","4","4","4","4","3","4","3","4","4","4","4","4"
"Wales","LLYNFI","Outlet Llangorse Lk.-Inlet Llangorse Lk.","055010006903B",1.5,"SO138  256","SO126  270","SO1257327150",,"4","3","3","3","3","3","3","3","3","4","4"
"Wales","ENIG","Conf.R.Llynfi - Conf.abv.Talgarth","055010007001",1.7,"SO157  332","SO150  346","SO1504034526",,"2","2","2","2","2","2","2","2","2","2","2"
"Wales","DULAS BROOK","Conf. R.Llynfi - Conf.Triffrwd Bk.","055010007101",3,"SO127  343","SO149  344","SO1490034432","3","2","2","2","2","2","2","2","2","2","2","2"
"Wales","DULAS BROOK","Conf.Triffrwd Bk. - Source","055010007102",10.4,"SO058  368","SO127  343","SO1490034432",,"2","2","2","2","2","2","2","2","2","2","2"
"Wales","TRIFFRWD BROOK","Conf.Dulas Bk. - Conf.at Ponde","055010007201",3.6,"SO108  372","SO127  343","SO1268334353","3","2","2","2","2","2","2","2","2","2","2","2"
"Wales","SCITHWEN BROOK","Conf.R.Wye - Conf.Pant y Rhufen Bk.","055010007301",3.7,"SO083  400","SO114  415","SO1126041430",,"1","1","1","1","1","1","2","2","2","2","1"
"Wales","BACH HOWEY BROOK","Conf.R.Wye - Conf.at Pencaenewydd","055010007401",4.5,"SO127  451","SO105  428","SO1061542800",,"2","1","1","1","2","2","2","5","5","5","2"
"Wales","BACH HOWEY BROOK","Conf.at Pencaenewydd - Conf.at Rhos Goch","055010007402",11,"SO187  474","SO127  451","SO1061542800",,"2","1","1","1","2","2","2","5","5","5","2"
"Wales","CLETTWR BROOK","Conf.R.Wye - Conf.Nant yr Offeiriad","055010007501",5.1,"SO062  425","SO097  432","SO0970043040",,"1","1","1","1","1","2","2","2","1","1","2"
"Wales","EDW","Conf.R.Wye - Conf.Clas Bk.(Cregrina)","055010007601",9.5,"SO123  518","SO076  470","SO0771046975",,"1","1","1","1","1","1","1","4","5","5",
"Wales","EDW","Conf.Clas Bk. - Conf. at Nant","055010007602",8.7,"SO125  578","SO123  518","SO0771046975",,"1","1","1","1","1","1","1","4","5","5",
"Wales","CLAS BROOK","Conf.R.Edw - Trib.at Glas Cwm","055010007701",4.3,"SO154  532","SO123  518","SO0771046975",,"1","1","1","1","1","1","1","4","5","5",
"Wales","CAMNANT","Conf.R.Edw - Conf.at Matts Fm.","055010007801",2.8,"SO092  539","SO117  539","SO0771046975",,"1","1","1","1","1","1","1","4","5","5",
"Wales","DUHONW","Conf.R.Wye - Conf.Nant Bwch","055010007901",7.2,"SO019  474","SO064  511","SO0618150831",,"1","1","1","1","1","1","1","5","5","5","1"
"Wales","IRFON","Conf.R.Wye - Conf.R.Chwefru","055010008001",0.3,"SO032  513","SO034  516","SO0331851476",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","IRFON","Conf.R.Chwefru - Conf.R.Garth Dulas","055010008002",11.3,"SN956  493","SO032  513","SN9953050760",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","IRFON","Conf.R.Garth Dulas - Conf.R. Cammarch","055010008003",3.9,"SN934  471","SN956  493","SN9953050760",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","IRFON","Conf.R.Cammarch - Conf.R.Cledan","055010008004",5.4,"SN893  460","SN934  471","SN9202047000",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","IRFON","Conf.R.Cledan - Conf.R.Gwesyn","055010008006",10.4,"SN854  525","SN893  460","SN9202047000",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","IRFON","Conf.R.Gwesyn - Nant Y Fedw","055010008007",4,"SN835  556","SN854  525","SN9202047000",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","IRFON","Nant Y Fedw - Nant Y Rhestr","055010008008",2.6,"SN835  577","SN835  556","SN8356555550",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","CHWEFRU","Conf.R.Irfon - Cilmeri STW O/F","055010008101",3,"SO008  518","SO032  513","SO0317551257",,"2","1","1","1","1","1","1","1","1","1","1"
"Wales","CHWEFRU","Cilmeri STW O/F - Conf.Nant Gwilym","055010008102",8.8,"SN959  575","SO008  518","SO0317551257",,"2","1","1","1","1","1","1","1","1","1","1"
"Wales","GARTH DULAS","Conf.R.Irfon - N.Cyfyng","055010008201",11,"SN931  560","SN956  493","SN9493049470",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","CAMMARCH","Conf.R.Irfon - Beulah Rd.Br.","055010008301",8.1,"SN922  512","SN934  471","SN9345247305",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","CAMMARCH","Beulah Rd.Br. - Conf.Nant Gewyn","055010008302",7.7,"SN884  560","SN922  512","SN9345247305",,"1","1","1","1","1","1","1","1","1","1","1"
"Wales","TIRABAD DULAS","Conf.R.Irfon - Conf.at Tirabad","055010008401",8.7,"SN880  416","SN917  470","SN9184746894",,"1","1","1","2","2","2","1","2","2","2","1"
